type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,JP-OV,BF,JP-OV_BF,bio-HS-LC.el,16,4227,39484,0.001,1,32,0.00487936,0.00159287,0.00647223,0.0967484,0.634727,0.731476,6418
RRR,JP-OV,BF,JP-OV_BF,fb-messages.el,16,1900,13838,1,1,255,0.00264537,0.00118497,0.00383034,0.092411,0.225647,0.318058,1492
RRR,JP-OV,1H,JP-OV_1H,bn-mouse_retina_1.el,16,1123,90811,0.03,22,0,-1,0.00333228,-0.996668,0.111382,1.39423,1.50562,0
RRR,JP-OV,BF,JP-OV_BF,bio-WormNet-v3.el,16,16347,762822,0.003,1,32,0.0662649,0.00979413,0.076059,0.374153,11.7645,12.1386,24910
RRR,JP-OV,1H,JP-OV_1H,insecta-ant-colony2-day16.el,16,132,4041,0.5,54,0,-1,0.00135339,-0.998647,0.0292053,0.0626678,0.0918732,0
RRR,JP-OV,1H,JP-OV_1H,econ-psmigr2.el,16,3141,410781,1,2744,0,-1,0.208797,-0.791203,32.9264,6.29198,39.2184,0
RRR,JP-OV,BF,JP-OV_BF,appu.el,16,14001,919552,0.03,1,32,0.0772109,0.01099,0.088201,0.320457,14.1381,14.4585,16014
RRR,JP-OV,1H,JP-OV_1H,econ-mbeacxc.el,16,493,41686,2,970,0,-1,0.0312064,-0.968794,1.83175,0.639839,2.47159,0
RRR,JP-OV,BF,JP-OV_BF,viscorocks.el,16,37763,562241,2,1,82,0.0609597,0.0118119,0.0727716,1.08041,8.86723,9.94763,373833
RRR,JP-OV,1H,JP-OV_1H,bio-grid-yeast.el,16,6008,156945,1,2557,0,-1,0.0217358,-0.978264,58.6948,2.44063,61.1354,0
RRR,JP-OV,BF,JP-OV_BF,bio-HS-LC.el,16,4227,39484,0.5,1,198,0.00561383,0.00168025,0.00729408,0.177372,0.634727,0.812099,13411
RRR,JP-OV,BF,JP-OV_BF,insecta-ant-colony3-day01.el,16,161,11139,2,1,318,0.00100124,0.00223361,0.00323485,0.00905895,0.171196,0.180255,11139
RRR,JP-OV,BASE,JP-OV_BASE,insecta-ant-colony3-day01.el,16,161,11139,0,0,0,0,0.00414776,0.00414776,0,0.171196,0.171196,11139
RRR,JP-OV,1H,JP-OV_1H,SiO.el,16,33402,642127,0.3,174,0,-1,0.0201832,-0.979817,22.6805,10.0529,32.7334,0
RRR,JP-OV,BF,JP-OV_BF,econ-psmigr1.el,16,3141,410781,0.0003,1,32,0.0330479,0.00849648,0.0415443,0.0718918,6.29198,6.36388,1783
RRR,JP-OV,1H,JP-OV_1H,nemeth24.el,16,9507,748522,0.001,1,0,-1,0.000504154,-0.999496,0.145065,11.4941,11.6391,0
RRR,JP-OV,BF,JP-OV_BF,econ-beaflw.el,16,508,44899,0.0001,1,32,0.0042185,0.00377895,0.00799745,0.0116272,0.68898,0.700607,162
RRR,JP-OV,1H,JP-OV_1H,socfb-UF.el,16,35112,1465654,0.003,24,0,-1,0.03803,-0.96197,3.75037,22.632,26.3824,0
RRR,JP-OV,BF,JP-OV_BF,bio-WormNet-v3.el,16,16347,762822,0.3,1,381,0.0662532,0.0167903,0.0830436,1.04451,11.7645,12.809,119383
RRR,JP-OV,BF,JP-OV_BF,nemeth24.el,16,9507,748522,0.0003,1,32,0.0622177,0.0129572,0.0751749,0.217598,11.4941,11.7117,43568
RRR,JP-OV,BF,JP-OV_BF,p-hat1500-3.el,16,1501,847244,0.0001,1,32,0.0654976,0.0203959,0.0858935,0.0343552,12.9394,12.9737,0
RRR,JP-OV,BF,JP-OV_BF,bio-HS-CX.el,16,4413,108818,3e-05,1,32,0.0103324,0.00252027,0.0128527,0.101006,1.6941,1.7951,13636
RRR,JP-OV,BF,JP-OV_BF,fb-messages.el,16,1900,13838,0.001,1,32,0.00195845,0.001256,0.00321445,0.0434875,0.225647,0.269135,2216
RRR,JP-OV,1H,JP-OV_1H,bn-mouse_retina_1.el,16,1123,90811,0.003,2,0,-1,0.00074805,-0.999252,0.0257034,1.39423,1.41994,0
RRR,JP-OV,1H,JP-OV_1H,econ-beacxc.el,16,498,42175,2,978,0,-1,0.0406013,-0.959399,1.86552,0.647339,2.51286,0
RRR,JP-OV,BF,JP-OV_BF,qc2534.el,16,2535,230413,0.01,1,32,0.0194872,0.00539697,0.0248842,0.0580215,3.53516,3.59319,13695
RRR,JP-OV,BF,JP-OV_BF,ca-dblp-2010.el,16,226414,716460,0.03,1,32,0.15816,0.0139456,0.172105,5.18221,12.6597,17.8419,325605
RRR,JP-OV,BF,JP-OV_BF,ca-dblp-2012.el,16,317081,1049866,3e-05,1,32,0.224697,0.0238443,0.248541,7.25741,18.4388,25.6962,439393
RRR,JP-OV,BF,JP-OV_BF,C500-9.el,16,501,112332,0.3,1,140,0.00902972,0.00891565,0.0179454,0.0176783,1.71787,1.73555,112332
RRR,JP-OV,BF,JP-OV_BF,nemeth24.el,16,9507,748522,0.1,1,32,0.0619396,0.0147783,0.0767179,0.217598,11.4941,11.7117,66656
RRR,JP-OV,BF,JP-OV_BF,ca-dblp-2012.el,16,317081,1049866,0.001,1,32,0.224168,0.021896,0.246064,7.25741,18.4388,25.6962,444338
RRR,JP-OV,1H,JP-OV_1H,bio-CE-PG.el,16,1871,47754,0.01,9,0,0.00591816,0.000722691,0.00664085,0.0927849,0.742943,0.835728,29483
RRR,JP-OV,1H,JP-OV_1H,econ-mbeacxc.el,16,493,41686,0.1,48,0,0.00731963,0.0083938,0.0157134,0.0977936,0.639839,0.737633,38741
RRR,JP-OV,BF,JP-OV_BF,p-hat1500-3.el,16,1501,847244,0.3,1,399,0.0650036,0.0264397,0.0914433,0.0987711,12.9394,13.0381,846841
RRR,JP-OV,BF,JP-OV_BF,movielens-10m-noRatings.el,16,28139,170398,1,1,3558,0.0381646,0.0145869,0.0527515,12.4516,2.81475,15.2664,8663
RRR,JP-OV,BF,JP-OV_BF,bio-CE-CX.el,16,15229,245952,0.003,1,32,0.0258806,0.00481273,0.0306934,0.348564,3.86912,4.21768,40363
RRR,JP-OV,1H,JP-OV_1H,bio-HS-CX.el,16,4413,108818,3e-05,1,0,-1,0.000251033,-0.999749,0.067337,1.6941,1.76144,0
RRR,JP-OV,BF,JP-OV_BF,ia-enron-email-dynamic.el,16,87274,297456,0.01,1,32,0.0608963,0.00584574,0.066742,1.99754,5.20467,7.20221,40691
RRR,JP-OV,BF,JP-OV_BF,C500-9.el,16,501,112332,0.5,1,234,0.00900911,0.00639519,0.0154043,0.0234118,1.71787,1.74128,112332
RRR,JP-OV,BF,JP-OV_BF,viscorocks.el,16,37763,562241,0.003,1,32,0.0605347,0.00910792,0.0696426,0.864326,8.86723,9.73155,299337
RRR,JP-OV,BF,JP-OV_BF,bio-CE-GN.el,16,2220,53683,3e-05,1,32,0.00565062,0.00182869,0.00747931,0.0508118,0.836075,0.886887,7987
RRR,JP-OV,1H,JP-OV_1H,qc2534.el,16,2535,230413,0.0003,1,0,-1,0.000319705,-0.99968,0.038681,3.53516,3.57384,0
RRR,JP-OV,1H,JP-OV_1H,bio-CE-CX.el,16,15229,245952,0.1,37,0,0.0541085,0.00784792,0.0619565,2.38186,3.86912,6.25097,111118
RRR,JP-OV,BF,JP-OV_BF,insecta-ant-colony6-day02.el,16,165,10272,0.3,1,47,0.00105665,0.0015838,0.00264045,0.00393391,0.157997,0.161931,10261
RRR,JP-OV,BF,JP-OV_BF,bio-grid-yeast.el,16,6008,156945,0.0001,1,32,0.0151019,0.00323973,0.0183416,0.137512,2.44063,2.57814,13602
RRR,JP-OV,BF,JP-OV_BF,qc2534.el,16,2535,230413,0.1,1,32,0.0188265,0.00505799,0.0238845,0.0580215,3.53516,3.59319,13695
RRR,JP-OV,1H,JP-OV_1H,torso3.el,16,259157,734028,0.0003,1,0,-1,0.00244451,-0.997555,3.95442,13.1776,17.132,0
RRR,JP-OV,BF,JP-OV_BF,socfb-UF.el,16,35112,1465654,2,1,16492,0.200093,0.440501,0.640594,69.6831,22.632,92.3151,128308
RRR,JP-OV,1H,JP-OV_1H,bio-DM-CX.el,16,4040,76717,0.3,108,0,-1,0.00614348,-0.993857,1.72607,1.20143,2.92751,0
RRR,JP-OV,1H,JP-OV_1H,email-dnc.el,16,1,0,0.0003,1,0,-1,1.4096e-05,-0.999986,1.52588e-05,7.62939e-06,2.28882e-05,0
RRR,JP-OV,BF,JP-OV_BF,nasasrb.el,16,54871,1311227,0.01,1,32,0.12601,0.0198846,0.145895,1.2559,20.4264,21.6823,700067
RRR,JP-OV,BF,JP-OV_BF,rim.el,16,22561,677576,2,1,222,0.0625955,0.0142357,0.0768312,1.01124,10.5111,11.5224,582467
RRR,JP-OV,1H,JP-OV_1H,bio-CE-PG.el,16,1871,47754,0.003,2,0,0.00604877,0.000343451,0.00639222,0.0428238,0.742943,0.785767,14429
